Breedte;Hoogte;Inch;Merk;Model;Seizoen;Profiel;Prijs
255;45;19;Pirelli;Scorpion;Zomer;7.8;135.00
295;40;21;Pirelli;P Zero;Zomer;7.8;165.00
245;35;20;Continental;SportContact 6;Zomer;7.7;135.00
285;30;22;Pirelli;P Zero;Zomer;7.7;175.00
305;30;21;Goodyear;Eagle F1;Zomer;7.7;165.00
235;40;19;Michelin;Primacy 4;Zomer;7.4;135.00
255;50;19;Continental;SportContact 5;Zomer;8.0;145.00
245;35;21;Pirelli;P Zero;Zomer;7.8;165.00
315;35;22;Pirelli;P Zero;Zomer;7.6;175.00
255;45;19;Pirelli;P7 Cinturato;Zomer;7.5;135.00
295;40;21;Continental;SportContact 5;Zomer;7.8;165.00
285;40;21;Bridgestone;Alenza;Zomer;7.4;165.00
245;40;19;Michelin;Primacy 3 RFT;Zomer;7.5;135.00
315;30;22;Pirelli;P Zero;Zomer;7.7;175.00
215;55;17;Continental;PremiumContact;Zomer;7.7;75.00
235;45;20;Bridgestone;Alenza;Zomer;7.4;135.00
225;55;18;Michelin;Primacy 4;Zomer;7.4;95.00
205;60;16;Michelin;CrossClimate;All Season;7.5;70.00
205;45;17;Goodyear;Eagle F1;Zomer;7.8;75.00
265;45;20;Michelin;Latitude;Zomer;7.5;135.00
225;55;17;Michelin;Primacy 4;Zomer;7.4;85.00
285;40;22;Pirelli;Scorpion Zero;Zomer;7.5;175.00
235;55;18;Hankook;S1 Evo2 SUV;Zomer;8.0;100.00
255;40;22;Continental;PremiumContact 6;Zomer;8.0;195.00
225;55;17;Continental;VancoContact C;Zomer;8.0;95.00
235;35;20;Michelin;Pilot Sport 4;Zomer;7.2;135.00
215;45;17;Bridgestone;Turanza 6;Zomer;7.4;75.00
